,0,1,2,3,4
294,2019-01-03,서울특별시,동작구,상도제1동,11
295,2019-01-03,서울특별시,동작구,상도제2동,11
296,2019-01-03,서울특별시,동작구,흑석동,11
297,2019-01-03,서울특별시,마포구,도화동,11
298,2019-01-03,서울특별시,마포구,망원제1동,11
299,2019-01-03,서울특별시,서초구,서초1동,11
300,2019-01-03,서울특별시,성북구,월곡제2동,11
301,2019-01-03,서울특별시,송파구,오금동,11
302,2019-01-03,서울특별시,송파구,잠실6동,11
303,승차일자,시/도,시/군/구,동/읍/면,승차건수
304,2019-01-04,서울특별시,노원구,하계1동,79
305,2019-01-04,서울특별시,서대문구,신촌동,79
306,2019-01-04,서울특별시,노원구,상계6.7동,78
307,2019-01-04,서울특별시,은평구,역촌동,60
308,2019-01-04,서울특별시,마포구,성산제2동,53
309,2019-01-04,서울특별시,강서구,방화제1동,44
310,2019-01-04,서울특별시,강북구,인수동,42
311,2019-01-04,서울특별시,강동구,고덕제1동,39
312,2019-01-04,서울특별시,마포구,상암동,39
313,2019-01-04,서울특별시,영등포구,영등포동,39
314,2019-01-04,서울특별시,종로구,이화동,37
315,2019-01-04,서울특별시,중랑구,신내1동,36
316,2019-01-04,서울특별시,도봉구,도봉제2동,35
317,2019-01-04,서울특별시,관악구,보라매동,33
318,2019-01-04,서울특별시,동작구,신대방제2동,33
319,2019-01-04,서울특별시,노원구,중계2.3동,32
320,2019-01-04,서울특별시,송파구,풍납2동,30
321,2019-01-04,서울특별시,강서구,등촌제3동,28
322,2019-01-04,서울특별시,광진구,구의제2동,28
323,2019-01-04,서울특별시,양천구,신정3동,27
324,2019-01-04,서울특별시,성북구,길음제1동,26
325,2019-01-04,서울특별시,양천구,신정6동,26
326,2019-01-04,서울특별시,은평구,구산동,25
327,2019-01-04,서울특별시,구로구,구로제5동,24
328,2019-01-04,서울특별시,강동구,둔촌제2동,23
329,2019-01-04,서울특별시,노원구,상계2동,23
330,2019-01-04,서울특별시,종로구,종로1.2.3.4가동,23
331,2019-01-04,서울특별시,서대문구,연희동,22
332,2019-01-04,서울특별시,양천구,목5동,22
333,2019-01-04,서울특별시,강서구,가양제2동,21
334,2019-01-04,서울특별시,강북구,번제3동,20
335,2019-01-04,서울특별시,강남구,세곡동,19
336,2019-01-04,서울특별시,노원구,상계1동,19
337,2019-01-04,서울특별시,노원구,월계2동,19
338,2019-01-04,서울특별시,성동구,왕십리도선동,19
339,2019-01-04,서울특별시,강동구,강일동,18
340,2019-01-04,서울특별시,강동구,천호제2동,18
341,2019-01-04,서울특별시,강서구,가양제1동,18
342,2019-01-04,서울특별시,노원구,월계3동,18
343,2019-01-04,서울특별시,양천구,신정4동,18
344,2019-01-04,서울특별시,강동구,길동,17
345,2019-01-04,서울특별시,강동구,상일동,17
346,2019-01-04,서울특별시,강북구,삼각산동,17
347,2019-01-04,서울특별시,동작구,흑석동,17
348,2019-01-04,서울특별시,성북구,길음제2동,17
349,2019-01-04,서울특별시,은평구,진관동,17
350,2019-01-04,서울특별시,노원구,공릉1.3동,16
351,2019-01-04,서울특별시,서초구,서초1동,16
352,2019-01-04,서울특별시,강남구,수서동,15
353,2019-01-04,서울특별시,강북구,번제2동,15
354,2019-01-04,서울특별시,성동구,마장동,15
355,2019-01-04,서울특별시,성북구,월곡제2동,15
356,2019-01-04,서울특별시,송파구,오금동,15
357,2019-01-04,서울특별시,송파구,장지동,15
358,2019-01-04,서울특별시,영등포구,여의동,15
359,2019-01-04,서울특별시,금천구,독산제1동,14
360,2019-01-04,서울특별시,동대문구,신설동,14
361,2019-01-04,서울특별시,마포구,공덕동,14
