DATE,SI_NM,GU_NM,EMD_NM,TAXI_CNT
2019-01-05,서울특별시,강북구,인수동,11
2019-01-05,서울특별시,강서구,가양제2동,11
2019-01-05,서울특별시,강서구,발산제1동,10
2019-01-05,서울특별시,노원구,중계4동,10
2019-01-05,서울특별시,송파구,장지동,10
2019-01-05,서울특별시,동작구,신대방제2동,9
2019-01-05,서울특별시,양천구,목1동,9
2019-01-05,서울특별시,양천구,신정3동,9
2019-01-05,서울특별시,양천구,신정6동,9
2019-01-05,서울특별시,강동구,강일동,8
2019-01-05,서울특별시,강북구,송중동,8
2019-01-05,서울특별시,성북구,삼선동,8
2019-01-05,서울특별시,은평구,역촌동,8
2019-01-05,서울특별시,중랑구,망우본동,8
2019-01-05,서울특별시,중랑구,면목제3.8동,8
2019-01-05,서울특별시,강서구,가양제3동,7
2019-01-05,서울특별시,강서구,공항동,7
2019-01-05,서울특별시,관악구,서원동,7
2019-01-05,서울특별시,관악구,은천동,7
2019-01-05,서울특별시,동대문구,전농제2동,7
2019-01-05,서울특별시,마포구,서교동,7
2019-01-05,서울특별시,서대문구,충현동,7
2019-01-05,서울특별시,서대문구,홍은제2동,7
2019-01-05,서울특별시,성북구,월곡제2동,7
2019-01-05,서울특별시,용산구,남영동,7
2019-01-05,서울특별시,중구,명동,7
2019-01-05,서울특별시,중랑구,상봉제1동,7
2019-01-05,서울특별시,중랑구,중화제2동,7
2019-01-05,서울특별시,강남구,역삼1동,6
2019-01-05,서울특별시,강남구,일원2동,6
2019-01-05,서울특별시,강남구,삼성1동,6
2019-01-05,서울특별시,강북구,미아동,6
2019-01-05,서울특별시,강북구,삼각산동,6
2019-01-05,서울특별시,강서구,방화제2동,6
2019-01-05,서울특별시,강서구,화곡제6동,6
2019-01-05,서울특별시,구로구,신도림동,6
2019-01-05,서울특별시,노원구,공릉1.3동,6
2019-01-05,서울특별시,노원구,월계3동,6
2019-01-05,서울특별시,도봉구,쌍문제2동,6
2019-01-05,서울특별시,서대문구,남가좌제2동,6
2019-01-05,서울특별시,서초구,양재1동,6
2019-01-05,서울특별시,성북구,길음제1동,6
2019-01-05,서울특별시,성북구,종암동,6
