EMD_CD,EMD_NM,DISABLED_NUM,SHOP_CNT,TAXI_CNT,EMPLOYEENUM,CENTER_CNT,CARD
11200118,송정동,314.0,0,0.0,0.0,0,0
11710104,송파동,671.0,3,12.0,2.0,0,1023
11110145,송현동,0.0,0,0.0,0.0,0,0
11380101,수색동,264.0,2,0.0,0.0,0,1003
11680115,수서동,1141.0,1,6563.0,0.0,0,0
11110124,수송동,0.0,0,0.0,0.0,0,0
11305103,수유동,2895.0,10,14693.0,2.0,7,1898
11140110,수표동,0.0,0,0.0,0.0,0,0
11140108,수하동,0.0,0,0.0,0.0,0,0
11140168,순화동,0.0,0,0.0,8.0,0,0
11110175,숭인동,416.0,2,42.0,0.0,0,1463
11545103,시흥동,3218.0,8,474.0,1.0,2,1549
11170123,신계동,0.0,1,0.0,0.0,0,0
11440103,신공덕동,0.0,1,0.0,0.0,0,0
11110102,신교동,0.0,0,0.0,0.0,0,0
11560132,신길동,2238.0,5,165.0,0.0,2,1191
11260106,신내동,2056.0,2,12981.0,0.0,2,1878
11140162,신당동,1953.0,20,56.0,2.0,1,718
11590109,신대방동,874.0,11,10842.0,0.0,4,3818
11530101,신도림동,521.0,2,222.0,0.0,0,2728
11620102,신림동,3222.0,8,1209.0,0.0,0,2342
11110120,신문로1가,0.0,1,0.0,0.0,0,0
11110121,신문로2가,0.0,0,0.0,0.0,0,0
11680107,신사동(강남구),1203.0,1,216.0,0.0,0,0
11380109,신사동(은평구),754.0,4,219.0,0.0,0,835
11230101,신설동,890.0,2,2197.0,0.0,0,5498
11440111,신수동,401.0,2,0.0,0.0,0,1099
11110186,신영동,0.0,0,0.0,0.0,0,0
11650111,신원동,435.0,0,36.0,0.0,0,558
11470103,신월동,3658.0,5,152.0,0.0,2,1741
11440117,신정동(마포구),0.0,0,0.0,0.0,0,0
11470101,신정동(양천구),3888.0,7,19587.0,0.0,3,5291
11170114,신창동,0.0,0,0.0,0.0,0,0
11710102,신천동,0.0,8,421.0,1.0,0,0
11410114,신촌동,258.0,1,21597.0,0.0,0,6323
11140147,쌍림동,0.0,0,0.0,0.0,0,0
11320105,쌍문동,1928.0,2,3318.0,1.0,2,569
11440101,아현동,384.0,0,76.0,0.0,0,2141
11110141,안국동,0.0,0,0.0,0.0,0,0
11290121,안암동1가,0.0,0,0.0,0.0,0,0
11290122,안암동2가,328.0,0,2316.0,0.0,0,2574
11290123,안암동3가,0.0,0,0.0,0.0,0,0
11290124,안암동4가,0.0,0,0.0,0.0,0,0
11290125,안암동5가,0.0,0,0.0,0.0,1,0
11740107,암사동,1546.0,4,319.0,1.0,1,2283
11680110,압구정동,259.0,5,245.0,0.0,0,2568
11650102,양재동,1436.0,3,186.0,1.0,0,4726
11560134,양평동,0.0,0,0.0,0.0,0,0
11560125,양평동1가,425.0,2,34.0,0.0,0,2084
11560126,양평동2가,376.0,0,0.0,0.0,0,0
11560127,양평동3가,0.0,3,0.0,0.0,0,0
11560128,양평동4가,0.0,0,145.0,1.0,0,0
11560129,양평동5가,0.0,0,0.0,5.0,0,0
